"Date: 2024-07-30+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"123","GmL_SPISOK","Play in HOMM3 HotA","TEXT","","","N","2019-06-04T21:00:00+0000","2019-06-04T21:00:00+0000","","","0","1","2020-04-19T09:03:55+0000","2019-06-05T00:00:00+0000","-63771674411008","Europe/Moscow","true","false",,,"list","1",""
"Microsoft To Do","Задачи","Купить пельмени","TEXT","","","N","2024-06-10T21:00:00+0000","2024-06-10T21:00:00+0000","","","0","2","2024-06-10T11:36:12+0000","2024-06-11T08:34:32+0000","-93458493734912","Europe/Simferopol","true","false",,,"list","60",""
